Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1704108600000,42681.11000000,42685.34000000,42625.23000000,42640.56000000,79.48889000,1704108899999,3390687.40079230,3496,28.59288000,1219448.41849070,0
1704108900000,42640.57000000,42653.66000000,42628.00000000,42639.35000000,51.70758000,1704109199999,2204932.17977930,2376,29.84615000,1272710.30841070,0
1704109200000,42639.34000000,42649.24000000,42605.21000000,42607.81000000,52.70636000,1704109499999,2246303.53460770,2831,24.38690000,1039400.80922910,0
1704109500000,42607.81000000,42629.76000000,42607.81000000,42609.65000000,48.26238000,1704109799999,2057067.07911730,2616,23.51231000,1002146.00978440,0
1704109800000,42609.65000000,42657.88000000,42609.64000000,42647.04000000,37.70848000,1704110099999,1607974.83811840,2293,21.54087000,918449.57590420,0
1704110100000,42647.05000000,42699.99000000,42647.04000000,42690.20000000,49.71115000,1704110399999,2121896.39835350,2416,37.21237000,1588315.36396620,0
1704110400000,42690.21000000,42739.22000000,42690.20000000,42693.45000000,61.04810000,1704110699999,2607543.01773490,4583,37.90723000,1619069.04485830,0
1704110700000,42693.44000000,42698.36000000,42622.00000000,42649.91000000,67.17765000,1704110999999,2865809.14782600,2994,20.77276000,886159.17947480,0
1704111000000,42649.91000000,42653.39000000,42611.45000000,42626.53000000,35.59755000,1704111299999,1517589.27977010,2642,11.37124000,484755.83837430,0
1704111300000,42626.52000000,42666.56000000,42626.52000000,42665.64000000,43.43016000,1704111599999,1851841.13953110,2062,30.34744000,1294044.26681070,0
1704111600000,42665.65000000,42704.28000000,42648.79000000,42684.14000000,51.47028000,1704111899999,2197091.38546990,2508,20.46303000,873488.54778140,0
1704111900000,42684.13000000,42684.17000000,42663.77000000,42684.15000000,37.82195000,1704112199999,1614199.98983280,1912,20.50600000,875161.30936480,0
1704112200000,42684.16000000,42698.75000000,42671.01000000,42694.14000000,69.88930000,1704112499999,2983378.59668200,2755,32.49912000,1387263.77865670,0
1704112500000,42694.14000000,42777.77000000,42694.09000000,42777.76000000,108.05949000,1704112799999,4617948.53089580,4056,80.72627000,3449728.70917430,0
1704112800000,42777.76000000,42780.00000000,42746.55000000,42755.76000000,81.54655000,1704113099999,3487195.38014110,3280,38.79137000,1658766.69621350,0
1704113100000,42755.77000000,42755.77000000,42713.30000000,42713.30000000,65.93344000,1704113399999,2817457.95168240,2599,18.16287000,776218.20017600,0
1704113400000,42713.31000000,42730.00000000,42682.33000000,42683.99000000,90.52373000,1704113699999,3866480.91280170,2795,32.57345000,1391357.11331950,0
1704113700000,42683.99000000,42689.76000000,42643.68000000,42648.38000000,73.03031000,1704113999999,3116154.47059560,3592,19.15820000,817359.94525260,0
1704114000000,42648.37000000,42664.00000000,42612.76000000,42658.00000000,66.04844000,1704114299999,2816200.55781890,3514,31.73870000,1353204.21695570,0
1704114300000,42658.00000000,42686.00000000,42648.62000000,42685.99000000,40.28702000,1704114599999,1718765.67043280,2368,23.51534000,1003232.40973330,0
1704114600000,42685.99000000,42700.08000000,42685.99000000,42700.08000000,33.50782000,1704114899999,1430698.50546230,1980,16.33050000,697262.54040980,0
1704114900000,42700.07000000,42720.00000000,42700.07000000,42707.14000000,35.56663000,1704115199999,1519095.52482870,2066,16.77508000,716455.55930900,0
1704115200000,42707.14000000,42733.81000000,42707.13000000,42720.07000000,43.66836000,1704115499999,1865537.71411060,2619,30.04948000,1283705.07177650,0
1704115500000,42720.06000000,42727.42000000,42700.00000000,42717.27000000,54.86316000,1704115799999,2343580.54570270,3011,24.02322000,1026162.33952270,0
1704115800000,42717.28000000,42717.28000000,42670.00000000,42701.06000000,45.26974000,1704116099999,1932830.60057550,2891,22.04338000,941154.96127270,0
1704116100000,42701.07000000,42710.52000000,42693.38000000,42708.65000000,27.86349000,1704116399999,1189913.37369360,2078,15.63735000,667800.63709990,0
1704116400000,42708.64000000,42740.76000000,42704.54000000,42740.76000000,41.46554000,1704116699999,1771289.73457050,2435,25.83577000,1103638.22900440,0
1704116700000,42740.75000000,42748.00000000,42714.40000000,42715.43000000,44.41513000,1704116999999,1897797.55858700,2330,16.40755000,701122.37310420,0
1704117000000,42715.43000000,42728.01000000,42704.80000000,42721.59000000,36.48448000,1704117299999,1558599.25421660,2376,19.96670000,852966.85661560,0
1704117300000,42721.58000000,42739.99000000,42715.54000000,42715.54000000,27.76259000,1704117599999,1186346.21808840,1994,10.48218000,447895.60558020,0
1704117600000,42715.54000000,42715.55000000,42637.35000000,42637.46000000,71.26348000,1704117899999,3040244.07914740,3631,25.60898000,1092482.51982380,0
1704117900000,42637.46000000,42678.28000000,42594.94000000,42678.27000000,87.53083000,1704118199999,3731910.65115850,4067,45.86409000,1955608.07556890,0
1704118200000,42678.28000000,42678.28000000,42646.99000000,42646.99000000,33.06204000,1704118499999,1410522.77619900,2230,17.25705000,736194.87218340,0
1704118500000,42646.99000000,42662.31000000,42646.99000000,42662.30000000,40.59680000,1704118799999,1731716.11692730,2016,28.66889000,1222881.14543190,0
1704118800000,42662.30000000,42662.31000000,42580.00000000,42615.99000000,82.53263000,1704119099999,3517713.37133330,3596,37.53905000,1599717.22446310,0
1704119100000,42615.99000000,42629.39000000,42584.22000000,42621.09000000,48.54440000,1704119399999,2068269.21658990,2452,25.99020000,1107188.05648250,0
1704119400000,42621.10000000,42661.89000000,42621.09000000,42657.97000000,49.39186000,1704119699999,2106427.81228650,2583,34.18212000,1457640.86222650,0
1704119700000,42657.98000000,42661.10000000,42618.23000000,42618.23000000,37.19786000,1704119999999,1586499.64722870,2551,9.68834000,413215.94312750,0
